Grup taxonòmic,Nom científic,Autors,Sinònims,Protecció europea,Protecció estatal,Protecció catalana,Àmbit territorial de protecció catalana,Protecció estricta-PEIN,Protecció de l’explotació,Protecció de fanerògames marines,Protecció pel Conveni de Berna,Protecció pel Conveni Barcelona
Espermatòfits,Veronica scutellata,Veronica scutellata  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Veronica tenuifolia subsp. tenuifolia,Veronica tenuifolia  Asso subsp. tenuifolia,[V. austriaca  subsp. tenuifolia  (Asso) O. Bolòs & Vigo],No inclosa,No inclosa,No inclosa,No aplica,Tossals d'Almatret,No inclosa,No inclosa,No inclosa,No inclosa
Fongs,Verpa bohemica,Verpa bohemica (Krombh.) J. Schröt.,[Ptychoverpa bohemica (Krombh.) Boud.; Morchella bohemica Krombh.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Vicia argentea,Vicia argentea  Lapeyr.,[V. canescens  subsp. argentea  (Lapeyr.) O. Bolòs & Vigo],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Warnstorfia fluitans,Warnstorfia fluitans (Hedw.) Loeske,No aplica,No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Líquens,Waynea stoechadiana,Waynea stoechadiana (Abasi Maaf & Cl. Roux) Clerc et Cl. Roux,Basiònim: Hypocenomyce stoechadiana Abbasi Maas & Cl. Roux.,No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Pteridòfits,Woodsia pulchella,Woodsia pulchella  (Bertol.) A. Löve & D. Löve,No aplica,No inclosa,En perill d'extinció,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Líquens,Xanthaptychia contortuplicata,Xanthaptychia contortuplicata (Ach.) S.Y. Kondr. & Ravera,Basiònim: Parmelia contortuplicata Ach. Sinònims: Xanthoanaptychia contortuplicata (Ach.) S .Y. Kondr. & Kärnefelt; Teloschistes contortuplicatus (Ach.) Clauzade & Rondon,No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Xatardia scabra,Xatardia scabra  (Lapeyr.) Meisn.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Capçaleres del Ter i del Freser| serres de Cadí-Moixeró,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Xiphion latifolium,Xiphion latifolium  Mill.,[Iris latifolia  (Mill.) Voss.],No inclosa,No inclosa,No inclosa,No aplica,Serres de Cadí-Moixeró,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Xiphion vulgare,Xiphion vulgare  Mill.,[Iris xiphium  L.],No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Zannichellia contorta,Zannichellia contorta  (Desf.) Cham. & Schltdl.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Zostera marina,Zostera marina  L.,No aplica,No inclosa,Protecció especial,En perill d'extinció,Tot Catalunya,Cap de Creus| cap de Santes Creus| Delta de l'Ebre,No inclosa,Inclosa,Inclosa,Inclosa
Espermatòfits,Zostera sp.,Zostera sp.,No aplica,No inclosa,Protecció especial,No inclosa,No aplica,Cap de Creus| cap de Santes Creus| Delta de l'Ebre,No inclosa,Inclosa,Inclosa,Inclosa
